,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_short,label_close_long
0,BTC/USDT,4h,1719792000000,62766.1,63800.0,62562.0,63416.4,49753.74,1.6472267673154795,-0.3251755326521777,1.036068833335202,61402.65,0.0016071512316666592,2.7863689329705634,61733.61,-0.0002767579962655864,1.248629194225443,63563.63300000001,-0.0005688381684024746,0.17019129864398394,66201.2135,-0.0003812750745683102,-0.6746752033934752,11.047170397789806,10.814840915640572,-0.6574966549030777,0.9132342491756081,-0.4364894806608149,-3.7246777310493706
1,BTC/USDT,4h,1719806400000,63416.5,63453.7,63200.0,63265.5,13560.88,0.05865981250936514,-0.3413938012977735,-0.2381083787342364,61481.825,0.00128943946230331,2.3749077842281308,61714.12,-0.0003157113280755075,1.220322630213731,63532.488000000005,-0.0004899814332514074,0.36210231776638624,66175.3385,-0.00039085386252024623,-0.6849291213399604,11.057479358931475,9.514944456143846,-0.3989864737869972,-0.8221692941781477,-0.5478012600890121,-3.245462628104332
2,BTC/USDT,4h,1719820800000,63265.5,63302.7,62580.0,62657.9,26439.402,0.058799819807009435,-1.0835289375726087,-0.9603970568477282,61524.57000000001,0.0006952461154172696,1.7295783326905994,61679.498,-0.0005610061360350471,0.7921450787194416,63503.918,-0.00044969118791649,0.4728767790892808,66144.3175,-0.00046876979707466404,-0.8551740713686482,11.055095435856181,10.182610676463252,-0.44432386899710435,0.061200698058256175,0.7119790474953565,-3.263769092916635
3,BTC/USDT,4h,1719835200000,62657.9,63182.5,62502.2,63119.9,40119.806,0.8372447847757369,-0.2484922092824804,0.7373371913198534,61614.67,0.0014644555825418237,2.436541836955075,61654.096000000005,-0.00041183863072291604,1.1278669667946508,63474.72,-0.0004597826546701711,0.4664366042065702,66119.94900000001,-0.0003684141120663398,-0.6053300447374973,11.04544504974093,10.599625406570661,-0.6691887897659878,0.611465673898664,-0.5164199992248784,-4.900366554662251
4,BTC/USDT,4h,1719849600000,63120.0,63849.0,62947.4,63207.6,46436.922,1.1549429657794708,-0.27344740177439597,0.13878326996197288,61691.475,0.0012465375534755907,2.1597275244060206,61632.03399999999,-0.000357835106365223,1.28668986640943,63444.136,-0.00048182961657805556,0.4301026743554606,66096.9025,-0.00034855592523230783,-0.5461446258122985,11.052792955519756,10.745850154545506,-0.4745812721969023,0.7961187152803003,-0.5693813433090965,-5.674912086314935
5,BTC/USDT,4h,1719864000000,63207.2,63421.6,62780.0,62883.6,17627.188,0.3392018630788973,-0.6758723689706203,-0.5119669911022751,61783.659999999996,0.0014942907427646368,2.333485327424461,61608.27,-0.00038557870733257893,1.2999316660140483,63412.14600000001,-0.0005042231168533862,0.397976879783728,66074.21549999999,-0.00034323847475314917,-0.5213560076003607,11.05417349769673,9.77719776181948,-0.42738934367852327,-0.4935361522912205,-0.9261226330413588,-5.122440185947317
6,BTC/USDT,4h,1719878400000,62883.7,63284.0,62765.7,63115.7,14302.825,0.6365719574388917,-0.18764799145088995,0.3689350340390307,61932.83500000001,0.0024144733413333785,3.0689408614391414,61588.01,-0.0003288519544534241,1.4723745280605265,63380.251,-0.0005029793503599223,0.4173385006839996,66053.2145,-0.0003178395663281375,-0.44766268239604984,11.049042267611137,9.568212349184636,-0.5467496882318436,-0.7645764035443572,-1.5245886590532334,-5.677197867902384
7,BTC/USDT,4h,1719892800000,63118.0,63227.0,62566.0,62617.9,19063.833,0.17269241737698504,-0.8745524256155157,-0.7923254855983997,62042.240000000005,0.0017665104463568948,2.393679374066721,61576.47,-0.0001873741333743295,1.8436031894129643,63343.310999999994,-0.0005828313933310403,0.2446935854406575,66027.8705,-0.00038369063779619683,-0.5973628491734095,11.052761269339682,9.85554825877378,-0.4375720809426523,-0.383805698221894,-0.6834271137970238,-6.112811306425551
8,BTC/USDT,4h,1719907200000,62617.9,62861.1,62387.0,62823.3,26473.226,0.388387346110286,-0.36874440056278157,0.32802122076913687,62145.4,0.0016627381603242508,2.2389352538766136,61576.13399999999,-5.456629781019906e-06,2.284128649746778,63310.102,-0.0005242700369735287,0.3961933658006229,66001.207,-0.00040382189820897807,-0.635187746442409,11.04480645870644,10.183889161614555,-0.6366250310930692,0.06541454703500549,-2.316891980583665,-8.267091386396851
9,BTC/USDT,4h,1719921600000,62823.3,63167.4,61840.0,61945.0,63689.49,0.5477267192267821,-1.5651836181798884,-1.398048176393163,62190.159999999996,0.0007202463899178557,1.3815664110501595,61566.361999999994,-0.00015869784874766868,1.9394020908768586,63267.415,-0.000674252586103874,0.042981063523092305,65972.793,-0.0004305072784500652,-0.6895977494850675,11.048081302754001,11.061774835796847,-0.5366250501101516,1.2441387348891606,-1.205361698930434,-7.923058134713376
