,symbol,period,open_time,open,high,low,close,volume,ret_high,ret_low,ret_close,ma20,ma50,ma100,ma200,log_open,log1p_volume,z_score_log_open,z_score_log1p_volume,label_mean_close
199,BTC/USDT,4h,1580702400000,9396.68,9432.61,9353.49,9372.99,14202.143,0.38236909206230685,-0.45963042265992904,-0.2521103198150909,9383.1795,9169.1624,8899.7173,8416.197049999999,9.14811171438193,9.561148147695713,1.4476819157964216,-1.0211037443482844,-0.19722498271991795
200,BTC/USDT,4h,1580716800000,9373.0,9407.0,9304.0,9356.72,22412.888,0.3627440520644454,-0.7361570468366607,-0.1736903872826323,9378.257000000001,9188.8672,8904.4465,8426.8724,9.145588494746486,10.017391429531529,1.3717227907449798,-0.11158467118067997,-0.17162375929009321
201,BTC/USDT,4h,1580731200000,9356.67,9378.82,9280.0,9283.16,23634.751,0.23672952022459892,-0.8194154544298393,-0.7856427553819878,9373.379500000001,9206.803,8908.090900000001,8437.261900000001,9.143844736939982,10.070473407948654,1.3171134269787244,-0.015387160548333407,-0.001574730906406252
202,BTC/USDT,4h,1580745600000,9283.93,9348.0,9250.0,9331.11,26661.879,0.6901172240635134,-0.36547022650967875,0.5081899583473826,9373.007000000001,9223.7896,8912.091,8447.9542,9.13604022751239,10.190990071369123,1.1268836310228314,0.2194584309205178,-0.37162092794693624
203,BTC/USDT,4h,1580760000000,9332.16,9360.0,9263.0,9300.64,14104.385,0.29832321777594206,-0.741093165998008,-0.33775674656243426,9370.676500000001,9240.5878,8916.5694,8458.30995,9.141221778300814,9.55424102092579,1.2351080637979737,-1.0920530371245807,-0.2469370098311413
204,BTC/USDT,4h,1580774400000,9300.63,9368.0,9271.18,9294.0,19480.613,0.7243595326338115,-0.31664521650682786,-0.07128549356333336,9369.533500000001,9255.167,8920.649500000001,8468.648200000001,9.13783741878245,9.877175044873898,1.1449471614645126,-0.44226502442078874,-0.2876481322919927
205,BTC/USDT,4h,1580788800000,9293.8,9327.82,9226.4,9284.0,22696.39,0.36605048526976436,-0.7252146592351849,-0.10544664184723995,9365.508,9268.622800000001,8924.389500000001,8479.08035,9.137102790153644,10.029961159985746,1.116568110287763,-0.13311250191991916,-0.22966477401169805
206,BTC/USDT,4h,1580803200000,9284.0,9305.0,9114.0,9193.76,44150.832,0.22619560534251626,-1.8311072813442464,-0.9719948298147374,9353.117999999999,9279.1562,8927.185800000001,8489.4127,9.136047767394327,10.695367050701657,1.0809521160697426,1.274248348003436,0.13205126443286141
207,BTC/USDT,4h,1580817600000,9193.75,9237.0,9105.0,9208.55,36285.334,0.47042828008156956,-0.9653297076818501,0.16097892590074547,9341.8165,9290.207199999999,8930.0213,8499.91765,9.126279184349748,10.499168916575481,0.8291085257105927,0.8584451890702397,0.18754201627713962
208,BTC/USDT,4h,1580832000000,9208.56,9242.93,9175.0,9187.0,14847.43,0.3732396813399763,-0.3644435177704186,-0.23412998340673896,9332.9225,9299.194,8930.2395,8510.17145,9.127888765233607,9.605582065280485,0.8547728299745049,-1.0142000046170052,0.6421213208459009
209,BTC/USDT,4h,1580846400000,9186.73,9222.65,9153.0,9198.35,10383.303,0.39099875581409815,-0.36716002320738017,0.1264867912739387,9325.801,9307.555400000001,8931.3009,8520.531949999999,9.125515330485069,9.247954314194908,0.7837576812508368,-1.7484641893747652,0.8155300857573988
210,BTC/USDT,4h,1580860800000,9198.32,9250.9,9179.88,9242.0,15480.022,0.5716261230311659,-0.20047139042782547,0.47486932396350046,9319.178,9313.714600000001,8936.6725,8531.84475,9.126776137666482,9.647305568331339,0.8027733373739869,-0.8958560640403235,1.1732197659282961
211,BTC/USDT,4h,1580875200000,9241.61,9307.78,9220.02,9277.0,19859.413,0.7160007834132731,-0.23361730261285407,0.3829419332778583,9313.391,9320.9824,8943.0525,8543.419549999999,9.131471391881524,9.896433380264062,0.9054688854762665,-0.351726338544743,0.9448582879138689
212,BTC/USDT,4h,1580889600000,9276.05,9430.0,9237.4,9423.0,37238.917,1.6596503899828141,-0.4166644207394321,1.5841872348683061,9320.822499999998,9326.9518,8950.7324,8555.7978,9.135191088615315,10.525109649335471,0.9832850524498897,1.0150251384441693,0.5853379589475682
213,BTC/USDT,4h,1580904000000,9422.99,9515.0,9422.99,9500.27,44987.317,0.9764416602373593,0.0,0.8201218509199304,9326.8765,9335.995799999999,8958.676599999999,8567.30905,9.15090772697304,10.714135884582403,1.343174504634495,1.4179113915014798,0.3722714949318251
214,BTC/USDT,4h,1580918400000,9500.28,9799.08,9484.86,9681.32,66788.787,3.14517045813385,-0.16231100557035916,1.9056280446470897,9338.799,9347.8236,8968.7742,8579.0251,9.159076550838503,11.109290486153354,1.5125540031235614,2.2200562517782063,0.07061277259041154
215,BTC/USDT,4h,1580932800000,9681.36,9738.0,9600.96,9630.0,27957.241,0.5850417709908573,-0.8304618359404214,-0.5305039787798504,9347.406500000001,9359.839199999999,8978.3942,8590.59505,9.177957666269771,10.23843151479791,1.9204649910997214,0.3878021863953797,0.44202542613670515
216,BTC/USDT,4h,1580947200000,9630.0,9660.85,9550.0,9644.07,30325.91,0.3203530633437257,-0.830737279335414,0.14610591900310332,9357.109999999999,9372.3234,8988.6075,8602.120900000002,9.172638504792172,10.319757741606036,1.756358342894145,0.5670953216109232,0.29103617905529566
217,BTC/USDT,4h,1580961600000,9644.1,9705.0,9617.07,9641.0,22816.091,0.6314741655519818,-0.28027498677949403,-0.032144005143042165,9372.25,9377.1638,8998.2158,8613.617300000002,9.174101608388737,10.035221311635242,1.7528114616217676,-0.04485482603961816,0.36061034220307986
218,BTC/USDT,4h,1580976000000,9641.01,9715.04,9612.3,9708.4,22293.959,0.7678656074415535,-0.297790376734397,0.6989931552814355,9387.867000000002,9384.141,9008.5163,8625.512850000001,9.173781153900643,10.01207102388804,1.7098284067950438,-0.08487795596771672,0.21186438310964728
219,BTC/USDT,4h,1580990400000,9707.41,9884.0,9651.0,9800.13,75507.086,1.819125801835919,-0.5811024773858309,0.955146635405324,9409.223999999998,9392.6934,9020.0176,8637.79285,9.18064479038077,11.231981785137712,1.826199570355499,2.4861128710154996,0.015169437196918545
220,BTC/USDT,4h,1581004800000,9800.13,9849.0,9723.5,9755.26,27720.57,0.49866685441928293,-0.7819284029905615,-0.4578510693225346,9429.151,9401.529199999999,9030.780200000001,8649.9038,9.190150929876802,10.229930015862992,1.9919312124429125,0.3592840230338407,0.16691100507832402
221,BTC/USDT,4h,1581019200000,9754.11,9810.3,9662.0,9778.12,21892.751,0.576064858813341,-0.9443198815678788,0.24615264744809462,9453.899,9411.232,9042.1618,8662.21715,9.185444013631054,9.993910856444279,1.8445965452975797,-0.134590390490925,0.082712232958429
