,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_fast,label_close_slow
16,BTC/USDT,4h,1582776000000,8745.49,8836.56,8675.98,8819.07,22738.52,1.0413367347055447,-0.7948096676115401,0.8413479404813184,9343.4665,-0.005979199905868926,-2.7929718174513583,9599.1204,-0.002815745411488213,-2.48905856701346,9826.2583,-0.0010713142121897556,-2.1839833439366116,9585.22765,0.00019675286349229992,-1.688787354311117,9.076293417901264,10.03181568163329,-3.48607639974144,-0.023237141889888693,0.23006664933475185,-1.8356498477991527
17,BTC/USDT,4h,1582790400000,8817.71,8862.0,8742.2,8808.0,24312.386,0.5022846067743281,-0.8563447879324504,-0.11011929401170129,9295.905,-0.00509034842689271,-2.3072081092148347,9572.101999999999,-0.002814674561223418,-2.4123361600132562,9815.9268,-0.0010514175064989528,-2.102998614205649,9587.7694,0.0002651736706533736,-1.4880497873226726,9.084517478101057,10.098741211403793,-3.101729522377439,0.11106311477434244,0.5045079672888161,-1.2991124097786697
18,BTC/USDT,4h,1582804800000,8808.0,8947.0,8750.56,8851.14,42817.894,1.578110808356037,-0.6521344232515935,0.48978201634877205,9250.6185,-0.004871661231477753,-2.148514839429213,9547.77,-0.0025419704052462855,-2.133348811867884,9805.7826,-0.0010334429144275292,-2.0291635630231166,9590.429250000001,0.00027742114865647594,-1.43278152928869,9.083415678402515,10.664711378309228,-3.0030651394385544,1.2018787928614791,-0.7193105836973291,-2.311453308221615
19,BTC/USDT,4h,1582819200000,8851.14,8978.0,8847.37,8919.41,29348.734,1.4332617041420637,-0.04259338345115049,0.7713130737961427,9205.778999999999,-0.0048471894068490284,-2.0830894352190463,9521.898000000001,-0.0027097426938436087,-2.2035889202315393,9797.4843,-0.0008462659573954534,-1.7678622685509096,9593.43125,0.00031302039999925313,-1.3216316077911192,9.088301543265542,10.287004689743297,-2.7654896413374264,0.46253646848263097,-2.757424849675389,-2.6673394071751715
20,BTC/USDT,4h,1582833600000,8920.0,8921.0,8684.46,8828.0,31923.817,0.011210762331836932,-2.640582959641269,-1.0313901345291532,9161.6895,-0.004789328529394177,-2.0093619588396487,9495.9814,-0.0027217892903285135,-2.153454649435559,9788.2682,-0.0009406598385668374,-1.837351078429339,9595.8891,0.00025620134610337963,-1.4443994479223137,9.096051225574055,10.371107624615105,-2.4793049854945584,0.6518273006469846,-1.1261031626595084,-2.1967262887574064
21,BTC/USDT,4h,1582848000000,8827.12,8908.86,8790.0,8842.11,18490.201,0.9260098423947927,-0.420522208829166,0.16981756223999334,9123.375,-0.004182034328930273,-1.708553233424737,9469.8114,-0.0027559026179221346,-2.122180698719982,9778.5666,-0.0009911457064488705,-1.853522391273847,9598.2724,0.00024836677197526136,-1.4420345379393678,9.085584079580597,9.824996195063026,-2.653084307766311,-0.42450123496688347,-2.467068044758836,-2.5846135429869945
22,BTC/USDT,4h,1582862400000,8842.11,8869.15,8702.0,8736.05,17951.732,0.305809359983078,-1.5845765320721017,-1.1994874526555455,9077.03,-0.005079808733062019,-2.0508756649407625,9452.659399999999,-0.0018112293133949464,-1.3851537235568097,9763.8832,-0.0015015902228451283,-2.3660021468850525,9600.229449999999,0.00020389606779636082,-1.531754413726687,9.087280814933099,9.795441879512236,-2.5245820609981866,-0.4795867676954739,-0.6801788536269896,-1.5159623745430466
23,BTC/USDT,4h,1582876800000,8736.33,8787.0,8550.0,8593.54,43974.208,0.5799918272318072,-2.1328177850424623,-1.6344391752600829,9027.2685,-0.005482134574855468,-2.168040835314591,9433.047999999999,-0.0020746965663440697,-1.5529163791108784,9746.944,-0.0017348835143788932,-2.5401790639605206,9601.33975,0.00011565348576114687,-1.7274780434232762,9.075245471996514,10.691358559210485,-2.7162730046927126,1.2781745716531756,1.319535315444945,0.510144522646111
24,BTC/USDT,4h,1582891200000,8593.43,8730.0,8450.0,8720.0,61733.864,1.5892373592383935,-1.6690657863041913,1.4728693897547274,8986.740000000002,-0.004489564035898397,-1.713958226302311,9415.3004,-0.0018814279329436578,-1.3847287035039455,9731.8534,-0.001548239119871786,-2.2685049482939172,9603.0079,0.0001737413781239816,-1.5552729121480962,9.058753236792056,11.03058790860147,-2.975825458022671,1.9008291425905288,0.0389966529448299,-0.9135667180424497
25,BTC/USDT,4h,1582905600000,8720.01,8741.93,8500.0,8586.19,27936.447,0.25137585851391364,-2.5230475653124307,-1.5346312676246865,8934.4495,-0.005818628334635312,-2.218903488617455,9395.565,-0.002096098813798797,-1.5152741592887133,9714.9217,-0.0017398227556529866,-2.4001221467225515,9603.52995,5.4363175104654715e-05,-1.8245513906838697,9.073375663691358,10.237687459370424,-2.5492812374665044,0.36203825622393365,1.5151064149276599,1.3695183963145539
